,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1621,108年11月28日 03時20分00秒,桃園市觀音區成功路1段口 / 桃園市觀音區忠孝路口,死亡1;受傷2,自用-小客車;其他車-其他車;其他人-人;乘客-人,121.138162,25.055251
1625,108年11月29日 05時46分00秒,桃園市桃園區介壽路69號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),121.310316,24.98466
1645,108年12月04日 04時07分00秒,桃園市龜山區文化二路2之3號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.368971,25.054681
1660,108年12月06日 18時04分00秒,桃園市中壢區自強一路121號前0.0公尺北側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.244378,24.97802
1674,108年12月09日 17時53分06秒,桃園市龍潭區龍園3路路燈桿L2-08,死亡1;受傷0,普通重型-機車,121.184973,24.89294
1676,108年12月10日 03時48分00秒,桃園市蘆竹區國道1號 44公里900.0公尺處北側向爬坡,死亡2;受傷1,營業用-半聯結車;營業用-半聯結車;乘客-人;乘客-人,121.33984,25.064182
1690,108年12月11日 15時20分00秒,桃園市大溪區台七線8.4K處,死亡1;受傷0,普通重型-機車;營業用-全聯結車,121.304538,24.828126
1694,108年12月12日 07時44分00秒,桃園市新屋區清華里9鄰產業道路11-2號前0.0公尺北側,死亡1;受傷0,普通重型-機車;自用-小客車,121.115063,24.974752
1710,108年12月14日 10時47分28秒,桃園市楊梅區民富路3段口 / 桃園市楊梅區高鐵南路8段口,死亡1;受傷0,普通重型-機車;自用-小客車,121.101149,24.929398
1723,108年12月16日 11時57分00秒,桃園市龜山區東萬壽路18.7K處(往新莊方向),死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.376235,25.009442
1726,108年12月17日 00時30分17秒,桃園市大園區濱海路2段563號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.19767,25.08709
1736,108年12月18日 09時00分00秒,桃園市蘆竹區中正路口 / 桃園市蘆竹區南竹路口,死亡1;受傷0,行人-人;營業用-半聯結車,121.292068,25.047279
1749,108年12月20日 16時30分00秒,桃園市觀音區大湖路1段口 / 桃園市觀音區上大二路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.139854,24.988229
1758,108年12月21日 12時48分00秒,桃園市桃園區桃源街50號,死亡1;受傷1,自用-小客車;行人-人,121.310745,24.996125
1769,108年12月23日 17時30分00秒,桃園市新屋區東明里中山西路1段73號前0.0公尺南側,死亡1;受傷1,行人-人;普通重型-機車,121.094225,24.974312
1780,108年12月25日 12時27分35秒,桃園市桃園區國道1號 53公里北側向外側,死亡1;受傷2,營業用-半聯結車;自用-小客車;計程車-小客車;營業用-大貨車;營業用-大貨車;乘客-人,121.275712,25.020746
1789,108年12月27日 15時16分00秒,桃園市桃園區民族路口 / 桃園市桃園區永安路,死亡1;受傷0,普通重型-機車;自用-小客車,121.306345,24.99688
1797,108年12月28日 17時51分00秒,桃園市大溪區信義路342號前0.0公尺,死亡1;受傷1,自用-小客車;行人-人,121.299841,24.889294
1800,108年12月29日 07時43分00秒,桃園市平鎮區建明路1段238巷前0.0公尺,死亡1;受傷0,普通重型-機車,121.242686,24.923805
