,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1079,108年08月06日 19時00分00秒,高雄市左營區左楠路前0.0公尺,死亡1;受傷0,普通重型-機車,120.2952,22.69073
1106,108年08月13日 06時55分00秒,高雄市六龜區荖濃里頂濃路76號前0.0公尺東側,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車;自用-小客車;自用-小客車,120.680422,23.087032
1109,108年08月13日 14時09分00秒,高雄市鳳山區中山東路332號前0.0公尺,死亡1;受傷0,普通重型-機車,120.38,22.62802
1112,108年08月14日 07時58分00秒,高雄市鼓山區臨海二路 / 高雄市鼓山區捷興二街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,120.30152,22.62716
1134,108年08月19日 13時04分00秒,高雄市旗津區上竹巷71之24號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.30152,22.62716
1138,108年08月20日 13時26分00秒,高雄市小港區台機路前 / 高雄市小港區台機路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.344743,22.559253
1139,108年08月20日 19時19分00秒,高雄市橋頭區橋新六路 / 高雄市橋頭區橋新九路,死亡1;受傷0,普通重型-機車,120.306764,22.745764
1146,108年08月21日 11時27分00秒,高雄市小港區松正路 / 高雄市小港區松青街,死亡1;受傷0,普通重型-機車;自用-小客車,120.376674,22.57126
1148,108年08月22日 06時50分00秒,高雄市苓雅區三多一路 / 高雄市苓雅區高速公路東側便道,死亡1;受傷0,自用-小客車;普通重型-機車,120.336325,22.624213
1168,108年08月26日 10時17分00秒,高雄市岡山區嘉新西路橋岡山190路燈號前0.0公尺南側,死亡1;受傷0,自用-大貨車;普通重型-機車,120.293608,22.802624
1208,108年09月04日 09時53分00秒,高雄市鳳山區建國路1段北門353燈桿號前0.0公尺,死亡1;受傷0,營業用-大貨車;行人-人,120.367037,22.634872
1215,108年09月05日 11時45分00秒,高雄市湖內區湖中路687巷21號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.2063,22.89813
1228,108年09月07日 17時23分00秒,高雄市內門區台28省道24.5K號前0.0公尺,死亡2;受傷0,普通重型-機車;乘客-人,120.4331,22.88677
