,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
191946,108年07月28日 21時45分20秒,南投縣南投市向上一路28號前,死亡0;受傷1,普通重型-機車;自用-小客車,120.688131,23.951503
192057,108年07月29日 07時27分00秒,南投縣南投市復興路480巷7號前0.0公尺附近,死亡0;受傷1,普通重型-機車;自用-小客車,120.684626,23.91491
192199,108年07月29日 08時58分00秒,南投縣南投市彰南路三段口 / 南投縣南投市彰南路三段口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.670446,23.934973
192258,108年07月29日 10時11分00秒,南投縣鹿谷鄉中正一路116號前,死亡0;受傷2,普通重型-機車;普通重型-機車,120.763699,23.734729
192409,108年07月29日 12時52分00秒,南投縣埔里鎮廣成里眉原路1-7號南側,死亡0;受傷1,自用-小客車;普通重型-機車,120.952092,24.023998000000002
192417,108年07月29日 13時08分17秒,南投縣草屯鎮明正里博愛路口 / 南投縣草屯鎮成功路,死亡0;受傷1,普通重型-機車;自用-小客車,120.682988,23.986218
192451,108年07月29日 13時49分24秒,南投縣南投市復興路、民權街口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.6863,23.909435000000002
192461,108年07月29日 14時00分29秒,南投縣竹山鎮紫南宮第二停車場,死亡0;受傷1,遊覽車-大客車;行人-人,120.72261499999999,23.817151000000003
192473,108年07月29日 14時13分21秒,南投縣埔里鎮房里路口 / 南投縣埔里鎮大同街口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.951472,23.974634
192520,108年07月29日 15時15分02秒,南投縣南投市民權街口 / 南投縣南投市大同街口,死亡0;受傷1,租賃車-小客車;普通重型-機車,120.68746499999999,23.909862
192536,108年07月29日 15時38分00秒,南投縣南投市文昌街口 / 南投縣南投市彰南路1段口,死亡0;受傷2,普通重型-機車;普通重型-機車,120.6853,23.907232
192643,108年07月29日 17時04分17秒,南投縣南投市仁和路139號,死亡0;受傷2,普通重型-機車;普通重型-機車,120.66304699999999,23.920404
192682,108年07月29日 17時25分23秒,南投縣草屯鎮新庄里墩煌路3段252巷前0.0公尺,死亡0;受傷2,普通重型-機車;乘客-人,120.666903,23.9986
192715,108年07月29日 17時43分34秒,南投縣草屯鎮富寮里中正路與富昌路口,死亡0;受傷2,自用-小客車;自用-小客車,120.69761799999999,23.978899
192819,108年07月29日 19時45分06秒,南投縣南投市彰南路1段附近 / 南投縣南投市集賢路附近,死亡0;受傷1,自用-小客車;普通重型-機車,120.68533400000001,23.904995
192899,108年07月29日 22時20分02秒,南投縣竹山鎮延和里大智路66-3號前0.0公尺,死亡0;受傷1,普通重型-機車;營業用-大貨車,120.693968,23.759641000000002
