縣市,鄉_鎮_市_區,街_路段,火災案件編號,報案時間,到達時間,起火原因,死亡人數,受傷人數
臺北市,中山區,大直街,A17A02J1,106-01-02 09:59,106-01-02 10:03,電氣因素(不含車輛)-短路,0,1
雲林縣,臺西鄉,台61線,O17A02K1,106-01-02 10:14,106-01-02 10:24,其他-因燃燒雜草、垃圾,0,0
高雄市,,立行路資源回收場後方燒雜草,B17A02K1,106-01-02 10:50,106-01-02 10:58,其他-因燃燒雜草、垃圾,0,0
屏東縣,屏東市,信義路,S17A02K1,106-01-02 10:51,106-01-02 10:59,爐火烹調-其他,0,0
新北市,烏來區,西羅岸路,H17A02L1,106-01-02 11:09,106-01-02 11:19,遺留火種-蚊香,0,0
臺南市,歸仁區,和順路二段,G17A02L1,106-01-02 11:23,106-01-02 11:33,遺留火種-其他,0,0
桃園市,大溪區,復興路二段,I17A02L1,106-01-02 11:29,106-01-02 11:49,其他-因燃燒雜草、垃圾,0,0
臺南市,新市區,,G17A02L2,106-01-02 11:45,106-01-02 11:52,遺留火種-其他,0,0
臺北市,大安區,瑞安街,A17A02L1,106-01-02 11:58,106-01-02 12:02,爐火烹調,0,0
臺東縣,臺東市,綏遠路一段,V17A02M1,106-01-02 12:08,106-01-02 12:23,其他-整地燃燒雜草,0,0
彰化縣,鹿港鎮,鹽埕巷,M17A02M2,106-01-02 12:12,106-01-02 12:34,其他-因燃燒雜草、垃圾,0,0
彰化縣,秀水鄉,福大路,M17A02M1,106-01-02 12:13,106-01-02 12:25,其他-因燃燒雜草、垃圾,0,0
臺中市,梧棲區,自強一街,E17A02M1,106-01-02 12:23,106-01-02 12:28,其他-因燃燒雜草、垃圾,0,0
新北市,三重區,光復路2段,H17A02M1,106-01-02 12:33,106-01-02 12:43,機械設備-其他,0,0
嘉義縣,朴子市,萊爾富附近,P17A02M1,106-01-02 12:40,106-01-02 13:00,其他-焚燒雜草及廢棄物,0,0
新北市,土城區,國道三號南下41.4公里,H17A02M2,106-01-02 12:44,106-01-02 12:53,其他,0,0
高雄市,鼓山區,大勇路必信街口,B17A02M1,106-01-02 12:45,106-01-02 12:50,其他-引擎過熱,0,0
桃園市,中壢區,金鋒街,I17A02M1,106-01-02 12:46,106-01-02 12:52,爐火烹調-乾燒,0,0
高雄市,小港區,高坪23與高坪22路口公園旁,B17A02M2,106-01-02 12:49,106-01-02 12:54,菸蒂,0,0
新北市,鶯歌區,育英街,H17A02M3,106-01-02 12:56,106-01-02 13:04,電氣因素(不含車輛)-短路,0,0
新北市,三芝區,埔頭,H17A02M4,106-01-02 12:57,106-01-02 13:12,其他-因燃燒雜草、垃圾,0,0
桃園市,中壢區,內厝路,I17A02M2,106-01-02 12:59,106-01-02 13:11,其他-因燃燒雜草、垃圾,0,0
臺北市,信義區,福德街,A17A02N1,106-01-02 13:18,106-01-02 13:25,爐火烹調,0,0
桃園市,龜山區,樂善寺旁,I17A02N1,106-01-02 13:43,106-01-02 13:50,遺留火種-不詳,0,0
新竹縣,新埔鎮,,J17A02N1,106-01-02 13:54,106-01-02 14:30,菸蒂,0,0
桃園市,楊梅區,四湖小富翁社區旁,I17A02O1,106-01-02 14:01,106-01-02 14:13,菸蒂,0,0
臺南市,安定區,,G17A02O1,106-01-02 14:21,106-01-02 14:32,遺留火種-其他,0,0
彰化縣,秀水鄉,福安村,M17A02O1,106-01-02 14:23,106-01-02 14:36,其他-因燃燒雜草、垃圾,0,0
高雄市,前鎮區,鎮東街,B17A02O1,106-01-02 14:28,106-01-02 14:35,瓦斯漏氣或爆炸-使用不當,0,1
高雄市,苓雅區,福德一路,B17A02O2,106-01-02 14:38,106-01-02 14:44,施工不慎-焊接,0,0
屏東縣,長治鄉,和平路,S17A02O1,106-01-02 14:47,106-01-02 14:57,菸蒂,0,0
臺南市,左鎮區,八德安樂園進入墓園方向（光和里109-1號）,G17A02O2,106-01-02 14:52,106-01-02 15:10,遺留火種-其他,0,0
雲林縣,北港鎮,往樹腳里,O17A02O1,106-01-02 14:57,106-01-02 15:04,其他-因燃燒雜草、垃圾,0,0
彰化縣,芳苑鄉,,M17A02P1,106-01-02 15:08,106-01-02 15:22,其他-因燃燒雜草、垃圾,0,0
彰化縣,芳苑鄉,,M17A02P2,106-01-02 15:12,106-01-02 15:24,其他-因燃燒雜草、垃圾,0,0
花蓮縣,吉安鄉,中山路二段,U17A02P1,106-01-02 15:34,106-01-02 15:36,其他-因燃燒雜草、垃圾,0,0
高雄市,六龜區,,B17A02P1,106-01-02 15:35,106-01-02 15:40,其他-因燃燒雜草、垃圾,0,0
彰化縣,北斗鎮,舜耕路,M17A02P3,106-01-02 15:38,106-01-02 15:44,其他-因燃燒雜草、垃圾,0,0
臺北市,士林區,延平北路9段,A17A02P1,106-01-02 15:42,106-01-02 15:50,遺留火種-其他,0,0
新北市,五股區,民義路2段,H17A02P1,106-01-02 15:53,106-01-02 15:59,其他-燃燒廢棄物,0,0
雲林縣,口湖鄉,台17線金湖路段,O17A02P1,106-01-02 15:59,106-01-02 16:11,菸蒂,0,0
高雄市,大寮區,捷西路與環河路交叉路口燒雜物,B17A02Q1,106-01-02 16:08,106-01-02 16:20,其他-因燃燒雜草、垃圾,0,0
臺中市,大里區,工業十四路,E17A02Q1,106-01-02 16:12,106-01-02 16:18,其他-菸蒂,0,0
桃園市,觀音區,大福路,I17A02Q4,106-01-02 16:34,106-01-02 16:40,其他-因燃燒雜草、垃圾,0,0
彰化縣,和美鎮,柑竹路,M17A02Q1,106-01-02 16:35,106-01-02 16:44,其他-因燃燒雜草、垃圾,0,0
嘉義縣,太保市,北方電台附近,P17A02Q1,106-01-02 16:35,106-01-02 16:42,其他-燃燒廢棄物,0,0
桃園市,蘆竹區,大新路,I17A02Q1,106-01-02 16:44,106-01-02 16:49,施工不慎-焊接,0,0
桃園市,新屋區,中山東路一段,I17A02Q2,106-01-02 16:49,106-01-02 16:54,施工不慎-焊接,0,0
臺東縣,臺東市,傑地爾,V17A02Q1,106-01-02 16:50,106-01-02 16:57,其他-因燃燒雜草、垃圾,0,0
桃園市,楊梅區,員本路,I17A02R1,106-01-02 17:01,106-01-02 17:17,菸蒂,0,0
苗栗縣,頭份市,上庄路,K17A02R1,106-01-02 17:18,106-01-02 17:26,電氣因素(不含車輛)-短路,0,0
桃園市,中壢區,福嶺路一段,I17A02R2,106-01-02 17:24,106-01-02 17:37,其他-因燃燒雜草、垃圾,0,0
新竹市,東區,博愛街,D17A02R1,106-01-02 17:26,106-01-02 17:33,玩火,0,0
彰化縣,大村鄉,聖瑤東路,M17A02R1,106-01-02 17:33,106-01-02 17:43,其他-因燃燒雜草、垃圾,0,0
臺中市,豐原區,葫蘆墩四街,E17A02R1,106-01-02 17:49,106-01-02 17:54,其他-打火機使用不慎,0,0
彰化縣,芳苑鄉,,M17A02R2,106-01-02 17:51,106-01-02 17:58,其他-因燃燒雜草、垃圾,0,0
金門縣,金寧鄉,沙崗農場,X17A02S1,106-01-02 18:05,106-01-02 18:12,其他-因燃燒雜草、垃圾,0,0
嘉義縣,中埔鄉,十塊厝,P17A02S1,106-01-02 18:07,106-01-02 14:17,電氣因素(不含車輛)-短路,0,0
苗栗縣,竹南鎮,,K17A02S1,106-01-02 18:35,106-01-02 18:58,其他-因燃燒雜草、垃圾,0,0
臺南市,關廟區,中央路,G17A02S1,106-01-02 18:38,106-01-02 18:44,爐火烹調-乾燒,0,0
新竹縣,新豐鄉,,J17A02S1,106-01-02 18:45,106-01-02 18:51,菸蒂,0,0
彰化縣,和美鎮,鹿和路5段,M17A02S1,106-01-02 18:45,106-01-02 18:56,其他-因燃燒雜草、垃圾,0,0
彰化縣,埤頭鄉,彰水路三段,M17A02T1,106-01-02 19:41,106-01-02 19:47,其他-燒雜物,0,0
嘉義縣,六腳鄉,潭墘村,P17A02U1,106-01-02 20:14,106-01-02 20:30,電氣因素(不含車輛)-短路,0,0
彰化縣,福興鄉,員鹿路,M17A02U1,106-01-02 20:53,106-01-02 20:10,遺留火種-其他-微火(餘燼),0,0
金門縣,金沙鎮,青嶼村落,X17A02V1,106-01-02 21:01,106-01-02 21:09,燈燭-蠟燭,0,0
彰化縣,秀水鄉,埔鹿街,M17A02V1,106-01-02 21:03,106-01-02 21:15,其他-因燃燒雜草、垃圾,0,0
高雄市,仁武區,八德一路92-16號附近,B17A02V1,106-01-02 21:25,106-01-02 21:30,其他-因燃燒雜草、垃圾,0,0
臺南市,永康區,文化路,G17A02W1,106-01-02 22:22,106-01-02 22:30,遺留火種-其他,0,0
臺南市,大內區,二溪大橋前砂石場對面,G17A02W2,106-01-02 22:28,106-01-02 22:37,遺留火種-其他,0,0
新北市,三重區,中正北路,H17A02W1,106-01-02 22:42,106-01-02 22:42,機械設備-保養不當,0,0
桃園市,大溪區,康安里,I17A02X1,106-01-02 23:02,106-01-02 23:10,其他-因燃燒雜草、垃圾,0,0
新北市,三重區,中興北街,H17A02X1,106-01-02 23:28,106-01-02 23:33,遺留火種-其他-菸蒂或灰燼,0,0
臺中市,梧棲區,西濱,E17A02X2,106-01-02 23:57,106-01-03 00:02,其他-燃燒廢棄物,0,0
彰化縣,永靖鄉,,M17A03B1,106-01-03 01:23,106-01-03 01:39,其他-因燃燒雜草、垃圾,0,0
新竹縣,竹東鎮,中豐路一段,J17A03B1,106-01-03 01:31,106-01-03 01:39,電氣因素(不含車輛)-短路,0,0
新北市,新莊區,建國一路,H17A03B1,106-01-03 01:43,106-01-03 01:43,其他-廢棄物,0,0
雲林縣,虎尾鎮,新吉里,O17A03B1,106-01-03 01:45,106-01-03 02:00,縱火-人為縱火,0,0
臺中市,北區,太原路二段,E17A03C1,106-01-03 02:12,106-01-03 02:18,自殺-引火自焚,1,0
桃園市,八德區,重慶街,I17A03D1,106-01-03 03:11,106-01-03 03:17,菸蒂,0,0
臺北市,士林區,中山北路6段,A17A03D1,106-01-03 03:13,106-01-03 03:19,電氣因素(不含車輛)-短路,0,0
苗栗縣,三灣鄉,,K17A03F1,106-01-03 05:11,106-01-03 05:20,其他-因燃燒雜草、垃圾,0,0
花蓮縣,花蓮市,中山路一段,U17A03G1,106-01-03 06:27,106-01-03 06:56,其他-因燃燒雜草、垃圾,0,0
臺中市,中區,公園路,E17A03I1,106-01-03 08:18,106-01-03 08:20,其他-燃燒廢棄物,0,0
新北市,新店區,國校路,H17A03I1,106-01-03 08:23,106-01-03 08:30,其他-自清,0,0
彰化縣,埤頭鄉,興工路,M17A03I1,106-01-03 08:44,106-01-03 08:49,其他-因燃燒雜草、垃圾,0,0
臺東縣,臺東市,桂林北路,V17A03J1,106-01-03 09:13,106-01-03 09:21,爐火烹調-乾燒,0,0
