,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
381,108年03月11日 19時23分00秒,屏東縣南州鄉七塊路4號前0.0公尺,死亡1;受傷0,普通重型-機車,120.503473,22.478369
387,108年03月12日 23時40分00秒,屏東縣長治鄉繁華路與忠孝路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,120.591495,22.691523
396,108年03月15日 01時30分44秒,屏東縣新埤鄉玉環新村玉環路段(餉潭大橋北端),死亡1;受傷0,普通重型-機車,120.590332,22.495537
421,108年03月19日 11時00分00秒,屏東縣枋山鄉台1線 446公里300.0公尺處南側向內側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.652987,22.261013
427,108年03月21日 06時21分00秒,屏東縣屏東市復興路口 / 屏東縣屏東市復興路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.487925,22.663176
433,108年03月21日 16時09分18秒,屏東縣屏東市勝利東路87號前0.0公尺南側,死亡1;受傷0,自用大客車-大客車;普通輕型-機車;自用-小貨車(含客、貨兩用),120.495835,22.677808
487,108年04月01日 19時35分10秒,屏東縣滿州鄉新庄路150-1號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.834454,22.011364
508,108年04月07日 00時16分00秒,屏東縣長治鄉中興路長治國中前,死亡1;受傷0,普通重型-機車,120.544243,22.693538
538,108年04月12日 18時56分00秒,屏東縣里港鄉三廍村三和路102-4號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.50356,22.81033
547,108年04月16日 02時10分00秒,屏東縣枋寮鄉台1線 433公里900.0公尺處南側向內側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.590624,22.397567
603,108年04月26日 13時40分00秒,屏東縣屏東市復興南路二段91-1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.485616,22.636325
604,108年04月26日 17時10分41秒,屏東縣恆春鎮墾丁里墾丁路511號,死亡1;受傷0,普通重型-機車,120.784055,21.9454
607,108年04月27日 12時54分00秒,屏東縣里港鄉舊鐵道路口 / 屏東縣里港鄉載南路口,死亡1;受傷1,普通重型-機車;自用-曳引車;乘客-人,120.53253,22.777359
612,108年04月28日 16時20分00秒,屏東縣枋寮鄉台一線與青山路口北向,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.570843,22.43411
619,108年04月29日 20時35分00秒,屏東縣屏東市清溪里和生路3段1006號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.470161,22.665293
673,108年05月14日 00時10分00秒,屏東縣枋山鄉台26線8.3K南向,死亡1;受傷0,自用-小客車,120.701003,22.141561
704,108年05月19日 15時30分03秒,屏東縣內埔鄉文山路南華路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.568142,22.610092
712,108年05月22日 05時49分00秒,屏東縣里港鄉土庫路79號前,死亡1;受傷1,普通重型-機車;乘客-人,120.506581,22.820325
716,108年05月23日 10時41分00秒,屏東縣瑪家鄉沿山公路段(涼山遂道內),死亡1;受傷0,營業用-曳引車;普通重型-機車,120.633622,22.6909
727,108年05月25日 02時43分00秒,屏東縣長治鄉進興巷溪埔寮幹31電桿前,死亡1;受傷0,普通重型-機車,120.537333,22.675904
729,108年05月25日 09時40分00秒,屏東縣九如鄉東寧路南二高橋下,死亡1;受傷1,普通重型-機車;普通重型-機車,120.507604,22.736316
732,108年05月25日 21時55分00秒,屏東縣長治鄉信義路185號前,死亡1;受傷0,普通重型-機車,120.574436,22.674801
